Artist,Song,Lyrics
ԱՐԹՈՒՐ ՄԵՍՉՅԱՆ,ԱՀԱ ԵՎ ՎԵՐՋ,"
 Hima hima na kimana
Srtis xoskere
Ou hents imana
Im sere ke darna
Indz het ke mna
 Chi neghana, chi herana
Yerpek hastat, yerpek chi morana
Arands siro im na chi darna
 Hima hima na kimana
Srtis xoskere
Ou hents imana
Im sere ke darna
Indz het ke mna
 Chi neghana, chi herana
Yerpek hastat, yerpek chi morana
Arands siro im na chi darna
 Arands siro im na chi darna,
Ohh...yeah
 Antarber antsar ou lretsir
Mek el anhamper andzayn, yes xosetsi
Siros zgatsmunkneres, xarnelen orers
Spasum em anverch handipman
Vaghuts der achkers, patmelen mtkers
Patmelen im sirte nrank
 Hima hima na kimana
Srtis xoskere
Ou hents imana
Im sere ke darna
Indz het ke mna
 Chi neghana, chi herana
Yerpek hastat, yerpek chi morana
Arands siro im na chi darna
 Hima hima na kimana
Srtis xoskere
Ou hents imana
Im sere ke darna
Indz het ke mna
 Chi neghana, chi herana
Yerpek hastat, yerpek chi morana
Arands siro im na chi darna
 Hima hima na kimana
Srtis xoskere
Ou hents imana
Im sere ke darna
Indz het ke mna
 Chi neghana, chi herana
Yerpek hastat, yerpek chi morana
Arands siro im na chi darna
 Hima hima na kimana
Srtis xoskere
Ou hents imana
Im sere ke darna
Indz het ke mna
 Chi neghana, chi herana
Yerpek hastat, yerpek chi morana
Arands siro im na chi darna
 Ohh...yeah
Arands siro im na chi darna
Ohh...yeah
Arands siro im na chi darna
Ohh...yeah
Arands siro im na chi darna
 "
Միհրան Ծառուկյան,Ֆուլ Հաուս (Full House) - Theme Song 1,"Entaniki het anpayman
Menk pntrumenk otehvan
Ou hajax tner vartsum
Enkerner ou azgakan
Barekam ou harevan
Mez oknumen ayd hartsum
 Lusavor ou arev gogh
Bartser vor che mtni gogh
Lini gaz ou lini luys (full house)
Toun depi Masis nayogh
Sagh patrastenk like pogh
Vor unenank full house
 Txtaxaghi pes dzkvumenk ore michev luys
Hajax, ourax, mek-mek anhuys
Te chenk ouzum ays paykarits menank
Ou xaghits durs
De sar garun e, full house
 Aprelem ouzum full house-um
Sus-sus full house
Ove oum lsum full house-um?
Sus-sus full house
Im kyanknem batsum full house-um
Sus-sus full house
Ser em yerazoum full house-um
Sus-sus full house
Full house
 "
Միհրան Ծառուկյան,Ով Իմանար (Ov Imanar),"Ov imanar vor piti, piti hangartsaki
Ko sere dure im taki
Ov imanar vor piti sirts arag zarki
Kez tesnelis aghaghaki
 Asa inchpes karoghatsar
Du hamozel im sarats srtin
Mi varkyanum siraharvel
Siruts halvel, dzmerva tsrtin
 Amen, amen, amena mets
Im yerazanke katarvets
Hima du ko teghumes
Im srti mechteghumes
Asa inchpes da patahets
 Amen, amen, amena mets
Im yerazanke katarvets
Hima du ko teghumes
Im srti mechteghumes
Asa inchpes da patahets
 Ax yerani te yerpek hekiate chehnthatvi
Siro hekiate chehnthatvi
Ax yerani te yerpek ays pahe chavartvi
Yernek ays pahe chavartvi
Astgheri tak irar grkats
Hima kangnats, kamurjhin siro
Dimavorum enq lusabatse
Parurvats, ansahman sirov
 Amen, amen, amena mets
Im yerazanke katarvets
Hima du ko teghumes
Im srti mechteghumes
Asa inchpes da patahets
 Amen, amen, amena mets
Im yerazanke katarvets
Hima du ko teghumes
Im srti mechteghumes
Asa inchpes da patahets
 Amen, amen, amena mets
Im yerazanke katarvets
Hima du ko teghumes
Im srti mechteghumes
Asa inchpes da patahets
 Amen, amen, amena mets
Im yerazanke katarvets
Hima du ko teghumes
Im srti mechteghumes
Asa inchpes da patahets
 Hima du ko teghumes
Im srti mechteghumes
Asa inchpes da patahets
 "
Միհրան Ծառուկյան,Սիրուս Կսպասեմ (Sirus Kspasem),"Արծաթ շողով,հարսի քողով ելավ լուսնկան
Ձեր տան կողքով,սրտի դողով կերթամ ու կուգամ
Երգով սրտիդ դուռն եմ թակում կարոտ քո տեսքին
Թե չես գալու գոնե թաքուն ականջ դիր երգիս։
 Արծաթ շողով,հարսի քողով ելավ լուսնկան
Ձեր տան կողքով,սրտի դողով կերթամ ու կուգամ
Երգով սրտիդ դուռն եմ թակում կարոտ քո տեսքին
Թե չես գալու գոնե թաքուն ականջ դիր երգիս։
Կանցնեն զույգեր ուրախ դեմքով օրոր ու շորոր
Ա՜խ,ինչ մեղք եմ ես իմ տեսքով մենակ ու մոլոր։
Աստղերի մեջ,լուսնի նման սիրուս կսպասեմ՝
Իմ արևը դու ես միայն,մի թող ինձ անսեր
 Ջահել սիրտս խորովել է նազը իմ յարի,
Հետս քիչմ խռովել է,բան չկա կանցնի։
Աստղերի մեջ,լուսնի նման սիրուս կսպասեմ
Իմ արևը դու ես միայն,մի՛ թող ինձ անսեր
Հ.Գ Ամենասիրածս ժողովրդական երգերից
 Ջահել սիրտս խորովել է նազը իմ յարի,
Հետս քիչմ խռովել է,բան չկա կանցնի։
Աստղերի մեջ,լուսնի նման սիրուս կսպասեմ
Իմ արևը դու ես միայն,մի՛ թող ինձ անսեր
Հ.Գ Ամենասիրածս ժողովրդական երգերից
 Արծաթ շողով,հարսի քողով ելավ լուսնկան
Ձեր տան կողքով,սրտի դողով կերթամ ու կուգամ
Երգով սրտիդ դուռն եմ թակում կարոտ քո տեսքին
Թե չես գալու գոնե թաքուն ականջ դիր երգիս։
 Ա՜խ,ինչ մեղք եմ ես իմ տեսքով մենակ ու մոլոր։
Աստղերի մեջ,լուսնի նման սիրուս կսպասեմ՝
Իմ արևը դու ես միայն,մի թող ինձ անսեր
 Ջահել սիրտս խորովել է նազը իմ յարի,
Հետս քիչմ խռովել է,բան չկա կանցնի։
Աստղերի մեջ,լուսնի նման սիրուս կսպասեմ
Իմ արևը դու ես միայն,մի՛ թող ինձ անսեր
Հ.Գ Ամենասիրածս ժողովրդական երգերից
 Ջահել սիրտս խորովել է նազը իմ յարի,
Հետս քիչմ խռովել է,բան չկա կանցնի։
Աստղերի մեջ,լուսնի նման սիրուս կսպասեմ
Իմ արևը դու ես միայն,մի՛ թող ինձ անսեր
Հ.Գ Ամենասիրածս ժողովրդական երգերից
 "
Միհրան Ծառուկյան,Սիրտ Ունեմ (Sirt Unem),"Ինքս-ինձ ինքդ-քեզ, անդադար խաբելով
Անըդհատ լռելով, քարանալու ենք
Ամեն օր, ամենուր, մենք իրար հիշելով
Իրարից փախնելով, խենթանալու ենք
Թե քո սիրտն էլ չկարողանա ներել
Ինչ արած հեռացիր
Բայց դու ինձ էլ հասկացիր
 Ես սիրտ ունեմ որ սիրում է
Որ կարոտից արտասվում է
Ու անդադար քեզ երազում է
 Իմ սեր
Ես սիրտ ունեմ որ սիրում է
Սրտիս միջից ձայնն ասում է
Որ ներում է ու քեզ սպասում է
 Իրական, էական, պատճառից փախնելուց
Ժամանակ սպանելուց, փոշմանելու ենք
Թե եւ դու, թե եւ ես, ինչ որ տեղ սպասելու
Հույս ունենք որ, մի օր միանալու ենք
Թ իմ սիրտնել չկարողանա ներել
Ինձ ասա հեռացիր
Բայց դե ինձ էլ հասկացիր
 Ես սիրտ ունեմ որ սիրում է
Որ կարոտից արտասվում է
Ու անդադար քեզ երազում է
 Իմ սեր
Ես սիրտ ունեմ որ սիրում է
Սրտիս միջից ձայնն ասում է
Որ ներում է ու քեզ սպասում է
 Ես հեռանալով կամաց-կամաց
Հասկացա որ սիրտը իմ քեզ մոտ մնաց
Ու հիմա ուզում եմ մոտդ գալ թեկուզ մի քիչ էլ, ուշացած
Դու հեռանալով ուզած-չուզած
Թողեցիր, ինձ կես ճամփին, մենակ կանգնած
Ես սիրահարված
 Ես սիրտ ունեմ որ սիրում է
Որ կարոտից արտասվում է
Ու անդադար քեզ երազում է
 Իմ սեր
Ես սիրտ ունեմ որ սիրում է
Սրտիս միջից ձայնն ասում է
Որ ներում է ու քեզ սպասում է
 Իմ սեր
Ես սիրտ ունեմ որ սիրում է
Որ կարոտից արտասվում է
Ու անդադար քեզ երազում է
 Իմ սեր
Ես սիրտ ունեմ որ սիրում է
Սրտիս միջից ձայնն ասում է
Որ ներում է ու քեզ սպասում է
 Իմ սեր...
 "
Միհրան Ծառուկյան,Ամենալավ Պարտի (Amenalav Party),"Wass up
It's DJ Jilber
Ayo, Mihran Tsarukyan
Let's go
 Ka mi anushik lav axchik oum siraharvel e, im sirte
Yerjankutsyunits ororvum em yertnagalise, im girke
Zgum em yes indz ashxari tere yerp vayelum em, ko sere
Yerp shoghum en jerm arev pes ko jpitov li, achkere
 Du imnes
De hents hima, hents hima, du indz mot ari
Du imnes
Tox ko sirte im srti het okhum pari
Du imnes
Ov imanar vor piti handipem sirus, el du sus
 Tonumenk, tonumenk, tonum michev lus
 Esor ashxari amenalav parti na
Vaghvanits eli amen mart ira dardi na
Esor ashxari amenalav parti na
Hents hima hima zga im srti ko srtina
 Ax gtelov mez myatsren ou kez ougharkele, im girke
Kez hampuyrelov liyatsle ou jahelatsel e, Im sirte
Ov imanar vor yerazi pes poxum e, es kyanke
Ou hima arten irakane im srtis amen mi xntranke
 Du imnes
De hents hima, hents hima, du indz mot ari
Du imnes
Tox ko sirte im srti het okhum pari
Du imnes
Ov imanar vor piti handipem sirus, el du sus
 Tonumenk, tonumenk, tonum michev lus
 Esor ashxari amenalav parti na
Vaghvanits eli amen mart ira dardi na
Esor ashxari amenalav parti na
Hents hima hima zga im srti ko srtina
 Esor ashxari amenalav parti na
(Put your hands up if you're here to party
Have the best party, let's go)
Esor ashxari amenalav parti na
Hents hima hima zga im srti ko srtina
 "
Միհրան Ծառուկյան,Երազում (Yerazum),"Baxte jptats, kez tesa hangarts
Mi pagh tvats, sirte im doghats
Amegh sirov, anavart huysov
Ouzum em vor, yertvem aysor, ko anunov
 Yerazoum artun, aghotum em yes sarkum
Sere mer anhum, chunena anverch kyankum
Yerazoum artun, aghotum em yes sarkum
Vor et yerpek kyankum chunenank ankum
Yerjanik em yes vor geta yes hents kez
 En inch ouzem, im baxtits avel
Sirum em kez, kyankis aravel
Hima arten, yes hastat gidem
Inchpes aprel, inchpes sirel, nvirvel
 Yerazoum artun, aghotum em yes sarkum
Sere mer anhum, chunena anverch kyankum
Yerazoum artun, aghotum em yes sarkum
Vor et yerpek kyankum chunenank ankum
Yerjanik em yes vor geta hents kez
 Yerazoum artun, aghotum em yes sarkum
Sere mer anhum, chunena anverch kyankum
Yerazoum artun, aghotum em yes sarkum
Vor et yerpek kyankum chunenank ankum
Yerjanik em yes vor geta hents kez
 Yerazoum artun, aghotum em yes sarkum
Sere mer anhum, chunena anverch kyankum
Yerazoum artun, aghotum em yes sarkum
Vor et yerpek kyankum chunenank ankum
Yerjanik em yes vor geta hents kez
Yerjanik em yes vor geta yes hents kez
 "
Միհրան Ծառուկյան,Տե Կուզես (Te Kuzes),"Yes aprum em vor kez sirem
Hampyurners kez nvirem
Ou te mi or yes kez chgrkem
Karotits yerevi gjhvem
 Te kuzes grkir indz
Te kuzes heru gna
Te kuzes krvir
Bayts ser antarber mi mna
 Te kuzes grkir indz
Te kuzes heru gna
Te kuzes krvir
Bayts ser antarber mi mna
 Kaghtsrs havata vor yes
Chem sirel, vochmekin kez pes
De bavakane izur xandes
Indz ou kez animast tanjes
 Te kuzes grkir indz
Te kuzes heru gna
Te kuzes krvir
Bayts ser antarber mi mna
 Te kuzes grkir indz
Te kuzes heru gna
Te kuzes krvir
Bayts ser antarber mi mna
 Sirte im mi kani orits
Kpayti te chgas norits
Im achkerin nayelov chases
Vor sirum es arajva pes
 Te kuzes grkir indz
Te kuzes heru gna
Te kuzes krvir
Bayts ser antarber mi mna
 Te kuzes grkir indz
Te kuzes heru gna
Te kuzes krvir
Bayts ser antarber mi mna
 Te kuzes grkir indz
Te kuzes heru gna
Te kuzes krvir
Bayts ser antarber mi mna
 "
Միհրան Ծառուկյան,Ты Моя (Ti Moya),"Չգիտես թե ոնց եմ ես քեզ սպասում,
Ամեն օր եմ ես քո ճամփին նայում:
Չգիտես թե ոնց եմ ես քեզ սիրում
Ու սիրահարվում:
Դու անցնում ես չես էլ նայում,
Ինչ խոսում եմ չես հասկանում,
Դե սպասիր,լսիր,թե ես ինչ եմ քեզ հիմա ասում
 Ты моя моя, нежная моя,
Ты моя, моя сладкая,
Քեզ գտել ա ու սիրել ա
Չսիրած իմ սիրտը,հավատա:
 Ты моя моя, нежная моя,
Ты моя, моя сладкая,
Մեզ գտել ա ու կապել ա
Սերը,որ սրտում մեր մի հատ ա:
 Ты моя моя, нежная моя,
Ты моя, моя сладкая,
Քեզ գտել ա ու սիրել ա
Չսիրած իմ սիրտը,հավատա:
 Ты моя моя, нежная моя,
Ты моя, моя сладкая,
Մեզ գտել ա ու կապել ա
Սերը,որ սրտում մեր մի հատ ա:
 Չգիտեմ ինչու եմ ես քեզ սպասում,
Ամեն օր այսպես քո ճամփին նայում:
Չգիտեմ ինչու եմ ես քեզ սիրում,
Ու սիրահարվում:
Անտարբեր ես դու ձևանում
Բայց խաղին քո չեմ հավատում
Հասկացել եմ ես արդեն
Սերն է խենթ քո մեջ ապրում:
 Ты моя моя, нежная моя,
Ты моя, моя сладкая,
Քեզ գտել ա ու սիրել ա
Չսիրած իմ սիրտը,հավատա:
 Ты моя моя, нежная моя,
Ты моя, моя сладкая,
Մեզ գտել ա ու կապել ա
Սերը,որ սրտում մեր մի հատ ա:
 Ты моя моя, нежная моя,
Ты моя, моя сладкая,
Քեզ գտել ա ու սիրել ա
Չսիրած իմ սիրտը,հավատա:
 Ты моя моя, нежная моя,
Ты моя, моя сладкая,
Մեզ գտել ա ու կապել ա
Սերը,որ սրտում մեր մի հատ ա:
 (Ты моя моя, нежная моя,
Ты моя, моя)
(Ты моя моя, нежная моя,
Ты моя, моя)
Ты моя моя
 Ты моя моя, нежная моя,
Ты моя, моя сладкая,
Քեզ գտել ա ու սիրել ա
Չսիրած իմ սիրտը,հավատա:
 Ты моя моя, нежная моя,
Ты моя, моя сладкая,
Մեզ գտել ա ու կապել ա
Սերը,որ սրտում մեր մի հատ ա:
 Ты моя моя, нежная моя,
Ты моя, моя сладкая,
Քեզ գտել ա ու սիրել ա
Չսիրած իմ սիրտը,հավատա:
 Ты моя моя, нежная моя,
Ты моя, моя сладкая,
Մեզ գտել ա ու կապել ա
Սերը,որ սրտում մեր մի հատ ա:
 "
Միհրան Ծառուկյան,Նոր Ֆուլ հաուս (Nor Full House) - Theme Song 2,"Տամառան է մեղավոր
Որ Մուշեղը բեղավոր
Վարորդից դարձավ հայրիկ ստաժավոր
 Լիկան է մեղավոր
Որ Արսենը չուզելով
Ետ եկավ Ա.Մ.Ն-ից զորավոր
 Ռուբենի հոթելում
Թթված մի փոխարեն
Զառա է տիրում
 Ֆելոի մտքերում
Սերգեի անիծած բնակարանն ու
 Նոր Ֆուլլ Հաուսսում, ով ում սերն է երազում
Նոր Ֆուլլ Հաուսսում, ով ումից է բանբասում
Նոր Ֆուլլ Հաուսսում, ով ինչու է կակազում
Նոր Ֆուլլ Հաուսսում, ում սիրել է նա ուզում
Նոր Ֆուլլ Հաուսսում, ով և ուր է վռազում
Նոր Ֆուլլ Հաուսսում, ով դեպի ում է վազում
Նոր Ֆուլլ Հաուսսում, ով երփեկ ում չի լսում
Նոր Ֆուլլ Հաուսսում, արկածներ բազում, բազում
 Նոր Ֆուլլ Հաուսսում
 "
Միհրան Ծառուկյան,Սրտիս Ուզացե (Srtis Uzatse),"Havatatsi ou entretsi
Xoghamank achkeret neghavor
Havanetsi ou siretsi
Yev hima du imnes
Ou aysor piti grkem kez
Ashxarin patmem yes
Vor gtelem im kyanki kesin
Im srtin
 Kez sireluem hents aynpes vonts du kas
Ou chem ouzum yerpek poxves du hangarts
Ser srtis ouzatse
Ko hasarak pahvatske
Yerani vor yes darnam sirun ko arjhani
 Kez sireluem hents aynpes vonts du kas
Ou chem ouzum yerpek poxves du hangarts
Ser srtis ouzatse
Ko hasarak pahvatske
Yerani vor yes darnam sirun ko arjhani
 Hima arten miyasin enk
Ou mer sere chenk taktsnelu
Menk anbajhan mi masnik enk
Ou ayspes haverjh e linelu
 Ko sere tang e
Indz hamar ayn kyank e
Petk chi indz vochinj el ays kyankits
Batsi keznits
 Kez sireluem hents aynpes vonts du kas
Ou chem ouzum yerpek poxves du hangarts
Ser srtis ouzatse
Ko hasarak pahvatske
Yerani vor yes darnam sirun ko arjhani
 Kez sireluem hents aynpes vonts du kas
Ou chem ouzum yerpek poxves du hangarts
Ser srtis ouzatse
Ko hasarak pahvatske
Yerani vor yes darnam sirun ko arjhani
 Ser srtis ouzatse...
Yerani...
 Kez sireluem hents aynpes vonts du kas
Ou chem ouzum yerpek poxves du hangarts
Ser srtis ouzatse
Ko hasarak pahvatske
Yerani vor yes darnam sirun ko arjhani
 Kez sireluem hents aynpes vonts du kas
Ou chem ouzum yerpek poxves du hangarts
Ser srtis ouzatse
Ko hasarak pahvatske
Yerani vor yes darnam sirun ko arjhani
 "
Միհրան Ծառուկյան,Ֆուլ Հաուսի Ամանորյա Տեսահոլովակ (Full House Amanorya Tesaholovak) - Holiday Theme Song,"Amanore Ama-amanore
Amanore Ama-amanore
Amanore Ama-amanore
Amanore...yeah
 Amanore, de batsek drnere
Lusavor e michev luys
Amanore, shat en kenatsnere
Yev arten bolor tnernen full house
 Nor tarin arten tsntsum e
Ou tsntsun e grpaner
Nor tarin dartsank, dartsume
Fellowi pes kakazum e azge mer
Amanorn anchap bari e
Tas or kerats, xmats
Nor tarin aytsi tari e
Karevore tarva verch che darnank ayts
 Amanore, de batsek drnere
Lusavore michev luys
Amanore, shat en kenatsnere
Yev arten bolor tnernen full house
 Amanore, mets en seghanere
Ahavor e bayts de sus
Amanore, shat en nevernere
Bayts arten bolor tnernen full house
 Full house
 "
Միհրան Ծառուկյան,հարց չկա (harcʻ čʻka),"Ահա մեր տան նոր բնակիչը
Նրա ուրախ ու քաղցր ճիչը
Շունչ տվեց ու լցրեց իր սիրով իմ սրտի լիճը
Կյանք եկավ իմ առաջնեկը
Հիմա ունեմ իմ առաջնեկը
Ով փոխեց օրը իմ ու տվեց մի նոր իմաստ կյանքի
Քո անուշ անուշ ծիծաղը
Արևոտ աչքերիտ խաղը
Տեսնելով ես մանկանում եմ քեզանով երջանկանում եմ
Դու ես իմ սրտի կտորը
Տոն է իմ ամեն մի օրը քեզ հետ
Սիրտտ ինչ ուզի հարց չկա
Բալես քեզ համար կանեմ
Գիտես որ սիրուս չափ չկա
Քո համով ցավը տանեմ (4 անգամ)
Դու իմ աշխարհն ես իմ բարիքը
Իմ վաղվա օրն ու իմ գալիքը
Սիրտը իմ իմ անգին քո անուշ սիրով է լիքը
Դու քայլ առ քայլ արի իմ գիրկը
ՈՒտեմ չարաճճի ժպիտտ
Քո կողքին պարզապես աշխարհի երջանիկն եմ ես
Քեզանով է լի իմ տունը դու ես իմ հարստությունը
Իմ երազն ու քաղցրությունը բոլորիս ուրախությունը
Դու ես իմ սրտի կտորը տոն է իմ ամեն մի օրը քեզ հետ (կրկներգ) :
 "
Միհրան Ծառուկյան,ՀԵՐՈՍ ՏՂԵՐՔ (HEROS TXEQ),"Երբ գիշերն է իջնում սահմանին
Մոտենում է հանկարծ թշնամին
Դու ես աչքերիս առա իմ մայր
 Աղոթքի ձայնն է քո իմ մտքում
Ամեն մի փամփուշտից ինձ փրկում
Լուռ ես.. հավատով սպասում որ կամ
 Թե ու ընկնեմ ես, տեղն իմ եղբայրը
Կբերի խաղաղ երկինք քեզ Մամ
 CHORUS:
 Հերոս տղերքը մեր ելան բարձոինքն ի վեր
Զոհվել չհա տղերք կռվի ժամին
Սա հայրենիքն է մեր սուրբ հող ու հորովել
Պիտի ծնկի գա թշնամին
 Ես մի ծիլն եմ ծնված այս հողից
Ժառանգած հաղթանակն իմ հորից
Հայրս որ կռվում հերոս դարձավ
 Հերոսից հերոսներ են ծնվում
Թե ընկնեմ հորս պես ես կռվում
Կյանքս, կիմանամ իմաստ կտա
 Սա իմ երկիրն է
Իմ ճակատագիրն է
Թշնամին, մեր հզոր զարկից ընկավ
 CHORUS X3:
 Հերոս տղերքը մեր ելան բարձոինքն ի վեր
Զոհվել չհա տղերք կռվի ժամին
Սա հայրենիքն է մեր սուրբ հող ու հորովել
Պիտի ծնկի գա թշնամին
 "
Միհրան Ծառուկյան,Կփրկեմ (Kypyrkem),"Տես երկինքը այս մեղմ հոսելով, արցունք դարձավ
Տես աշխարհը մեր սիրով ներկված, հեքիաթ դարձավ
Խավարած այս նենգ աշխարհում
Մենք այրեցինք սիրո խենթ կամուրջներն անհաս
Հուր հավիտյան օտար դարձանք:
 Եվ քո աչքերից, լուռ հոսեցին սիրո բառեր
Ու դու հեռացար, օտարի գիրկն անվերադարձ
Ինչ եղավ քեզ հետ չհասկացա
Ուր տարան քեզ սև, խորթ քամիները կորցրին
Սերն այս վարար, անեծք դարձրին
 Պարզ հիշիր դու միշտ
Սիրո համար արգելք չկա
Ու մութ խավարից
Ես կփրկեմ մեր սերն այրված
 Կվառվեն հզոր սիրո ջահեր
Անպատված ու սուտ այս աշխարհում մեզ համար
Որ հավիտյան սիրենք
 Կվառվեն հզոր սիրո ջահեր
Անպատված ու սուտ այս աշխարհում մեզ համար
Հուր հավիտյան սիրենք իրար
 "
Միհրան Ծառուկյան,Խոստում (Khostum),"(Տուն 1).
Երբ տեսա աչքերդ հեզ,
Իմ հոգին մի պահ ասես
Արթնացավ ու վեր հիշեց,
Որ կարող եմ դեռ սիրել,
Որ կարող եմ երազել,
Հայացքիդ ծովում անվերջ,
Ես դարցա կրակ անշեջ,
Վարսերդ քնքուշ բույրով,
Ու մեղմիկ քո համբույրով,
Բերեցիր ինձ շունչ մի նոր:
 (Կրկներգ).
Վարդերից հյուսենք մեր տունը,
Մեր սիրո տաքուկ անկյունը
Ու դառնանք անբաժան,
Ու մեր սիրուց ծնված բոլոր գույները,
Թող ներկեն մեր խենթ օրերը
Ու թռչենք դեպի աստղերը
Ու հենց լուսնին պատմենք մեր անուրջները,
Հեքիաթից ծնված մեր սերը,
Թև առնենք ու ճախրենք:
Արևից վերցնենք շողերը
Ու լույսով լցնենք մեր սերը,
Թև առնենք ու ճախրենք:
 (Տուն 2).
Գարունքիդ հովով հուշիկ,
Սիրառատ ձայնով մեղմիկ,
Ձեռքերով քո անուշիկ,
Դու շոյում ես սիրտը իմ,
Ջերմացնում ես կյանքը իմ:
Գեղեցիկ է մեր ներկան,
Լուսավոր է ապագան,
Կարոտով եմ քեզ սպասել,
Ես երդվում եմ քեզ սիրել
Ու հավերժ քեզ հետ լինել:
 (Կրկներգ)։
 Ու ճախրենք:
 "
Միհրան Ծառուկյան,Խենթ Գիշեր (Khent Gisher),"Քո համբույրը իմ հոգում
Մի այրող կրակ դարցավ
Սիրեցի քեզ ու կարծես
Սիրուց իմ խենթացա
Եվ ուզում եմ օրը այս
Ինձ համար դառնա տարի
Թող ամեն ինչ
Դու հիմա ինձ մոտ արի
Ինձ տուր միակ իմ սեր
Երկար անհայտ սիրո գիշեր
 Թող այրի համբույրը քեզ
Թող շնչեմ քո բույրը ես
Եվ ապրեմ ինձ մոռացած
Ու քո սիրով այսպես
Հավատա ինձ իմ անգին
Որ քեզ հետ է իմ հոգին
Թող լինի հավետ սիրո
Գիշերը մեր կողքին
Դու երազ ու մի աշխարհ
Քեզ, ապրում եմ քեզ համար
 Ու գաղտնի, թաքուն մտքեր
Աչքերիս հառած աչքեր
Ու կրքոտ համբույր մի տաք
Եվ ինձ շոյող ձեռքեր
Ու տեսնում եմ, որ հիմա
Սերն իմ վերջապես գտա
Վառ լուսնի պես ինձ անվերջ
Դու ինձ ժպտա
Ինձ տուր միակ իմ սեր
Երկար, անհայտ սիրո գիշեր
 Թող այրի համբույրը քեզ
Թող շնչեմ քո բույրը ես
Եվ ապրեմ ինձ մոռացած
Ու քո սիրով այսպես
Հավատա ինձ իմ անգին
Որ քեզ հետ է իմ հոգին
Թող լինի հավետ սիրո
Գիշերը մեր կողքին
Դու երազ ու մի աշխարհ
Քեզ, ապրում եմ քեզ համար
 Ապրում եմ քեզ համար
Դու երազ ու մի աշխարհ
Ինձ տուր միակ իմ սեր
Երկար, անհայտ սիրո գիշեր
 Թող այրի համբույրը քեզ
Թող շնչեմ քո բույրը ես
Եվ ապրեմ ինձ մոռացած
Ու քո սիրով այսպես
Հավատա ինձ իմ անգին
Որ քեզ հետ է իմ հոգին
Թող լինի հավետ սիրո
Գիշերը մեր կողքին
 Թող այրի համբույրը քեզ
Թող շնչեմ քո բույրը ես
Եվ ապրեմ ինձ մոռացած
Ու քո սիրով այսպես
Հավատա ինձ իմ անգին
Որ քեզ հետ է իմ հոգին
Թող լինի հավետ սիրո
Գիշերը մեր կողքին
Դու երազ ու մի աշխարհ
Քեզ, ապրում եմ քեզ համար
 "
Միհրան Ծառուկյան,"Ուր ես, ջանս (Ur es, janys)","Գիշեր-ցերեկ ես անդադար քեզ եմ երազում
Անուշ տեսքիդ, լույս երեսիդ փարվել եմ ուզում
Գիշեր-ցերեկ ես անդադար քեզ եմ երազում
Անուշ տեսքիդ, լույս երեսիդ փարվել եմ ուզում
Ուզում եմ, որ երգս լսես ու իմ գիրկը գաս
Ուզում եմ, որ կողքիս լինես ու սերտ ինձ տաս
Ուզում եմ, որ երգս լսես ու իմ գիրկը գաս
Ուզում եմ, որ կողքիս լինես սերտ դու ինձ տաս
 (Կրկներգ).
Ուր ես ջանս, որտեղ ես
Ինչու չկաս չես գալիս,
Գիշերները առանց քեզ
Աչքերիս քուն չի գալիս
Ուր ես ջանս, որտեղ ես
Ինչու չկաս, չես գալիս
Ինչքան սեր կա իմ սրտում
Քեզ համար է սիրելիս
 Թե որոշես սեր որոնել ուրիշի գրկում,
Սիրտտ մեղմիկ քեզ կհուշի, որ ինձ ես սիրում:
Թե որոշես սեր որոնել ուրիշի գրկում
Սիրտտ մեղմիկ քեզ կհուշի,որ ինձ ես սիրում
Ինչ որ ուզես կնվիրեմ քեզ իմ հրեշտակ
Դու միակն ես ում սիրում եմ այս արևի տակ
Ինչ որ ուզես կնվիրեմ քեզ իմ հրեշտակ
Դու միակն ես ում սիրում եմ այս արևի տակ
 (Կրկներգ).
Ուդ ես ջանս, որտեղ ես
Ինչու չկաս չես գալիս
Գիշերները առանց քեզ
Աչքերիս քուն չի գալիս
ՈՒր ես ջանս, որտեղ ես
Ինչու չկաս չես գալիս
Ինչքան սեր կա իմ սրտում
Քեզ համար է սիրելիս
 "
Arame,Ты лучшая (Ty luchshaya),"Сердце то, в котором ты живёшь,
я его построил из надежды,
посмотри в мои глаза, без слов поймёшь –
только ты и есть мой мир из грёз.
Как же долго я тебя искал,
сердце билось в ожиданьи чуда,
я такую красоту и ждал,
зная, что с тобою счастлив буду.
 Любимая, ты лучшая –
мы с тобою вместе, я и ты,
пара неразлучная,
словно два крыла одной мечты.
Ты моя, ты лучшая –
в этом мире будем я и ты
сердцем неразлучные
и душой навеки влюблены.
Любимая, ты лучшая…
 Небеса, я вас благодарю
за судьбу мою, за жизнь и счастье
и за светлую в моей душе зарю,
за любовь мою благодарю.
У любви твои глаза и смех,
у любви одно твоё лишь имя,
для меня ты лучшая из всех,
с каждым днём ещё сильней любима.
 Любимая, ты лучшая –
мы с тобою вместе, я и ты,
пара неразлучная,
словно два крыла одной мечты.
Ты моя, ты лучшая –
в этом мире будем я и ты
сердцем неразлучные
и душой навеки влюблены.
Любимая, ты лучшая…
 И ничто не может разделить с тобою нас,
ничто…
Обещаю я любить тебя,
обещаю я любить тебя всегда…
 Любимая, ты лучшая –
мы с тобою вместе, я и ты,
пара неразлучная,
словно два крыла одной мечты.
Ты моя, ты лучшая –
в этом мире будем я и ты
сердцем неразлучные
и душой навеки влюблены.
Любимая, ты лучшая…
