Artist,Song,Lyrics
Enomenal,4-th Element (CYPHER),"
[Verse 1: A.Chilla]

Վերածվում եմ հրեշի

Երբ կպնում եմ գրիչին

Ոնց որ սրիչը կաշվին

Մինչև էս բիթը մաշվի

Հանգս քանդում ա պատեր

Դառել եմ հսկա մարդակեր՝

Հիփ Հոփ մոնստեռ

Բերանիցս դուրս ա գալի

Կրակ, ոչ թէ խոսքեր:

Դէ արի տենանք՝

Ո՞վ ա ով ստէ:

Ես էլի մենակ դուէ

Զորք բեր հետդ

Կամէ գրող ու տետր

Եսէ մասնագետ եմ

Եթե հարց կա հետս

Արի պարզ ասեմ քեզ՝ հետ ես:

Հարցրա ինձ թէ՞ ոնց եմ

Կոտրում ցանկացած

Կարծրատիպ:

Հետևիցս թողնելով

Ոճս բարձրատիպ

Ոնց որ եռման ջուրը շփես

Սառցէ պատին

Ու ովէ հասկանում՝

Ստանում ա փառք ու պատիվ: (ա՜)

Համ դասատուն համ աշակերտն եմ:

Աշխարհայացքս լայն ա

Նույնիսկ երբ նեղն եմ ես:

Նետ ու աղեղն եմ

Քո թուրն եմ ամուր

Բայց երբեք չեմ փորձում անել

Էն ինչ որ դու ես անում

Ու ոչէ պետք ա

Ամեն մեկն ունի իր մատնահետքը:

Դժվար ա շփոթել իմ ու քո

Դեմքը 10 հոգու մեջից

Չնայած որ նկատվում ա

Տարօրինակը հեռվից

Նկատվում ա նաև ինչ ես

Կարդացէ բացի ՌԷՊ-ից:

Դէ դու ինձ գիտես՝ համեստ

Ոչ թէ кашалот

Օգտագործում եմ ռուսերեն բառ

Բայց դէ ճաշակով:

Ու՞ր են էն տղեքը՝

Ճիշտը պաշտպանող

Ու մի քիչ կոփված՝

Համէ նուրբ ներքին աշխարհով:
"
Misho,100 Tokos Mug,"
Erevanna, arhestakan ban chka ste bnakanna

Hamadzayn em qicha qaxcry, shaty darna

Xextvox kaptac demqer, vor Avatarna

Jamanaki harca, duxy kreluya, lineluya shat hangarc

Es kexty jreluya, preluya ira chishty xoracox serundy

Aracners mishte mer hamar snunda

“Ape mi hate dzun gar” - mtacuma na ov el djvarel mekin dur ga

Ari du es yan vortev demte andunda

Tenc etum es ur ba?

Nenc hiastapvac em mtqnerin menak txur ban

Ktva izur kam, poxelu em inchy karanam

U pti kul ta asacners ov chhamadzayna

Meke um tam patasxany ete es sxal em?

Karam shur gam dagaxum heto еte chanem inch aseci



Hima taqun nstac еm hetevum sev shusheqi

U ha saxin nayum em, hetevum em

U shertic mgecvac erevuma amen inch

Es mashnums nstac, dzernerums tuxt u grich


Nkarum em, ba ba barerov vortev usumnasirum em

Ha, tenc jamerov, hame usuma

U sirum em nayel ova, incha u inchic

Mot 100 tokosov mug im avtoi mijic

Nkarum em, ba ba barerov vortev usumnasirum em

Ha, tenc jamerov, hame usuma

U sirum em nayel ova, incha u inchic

Mot 100 tokosov mug im avtoi mijic
"
Misho,Mi Te,"
Ես նստած շարժական գույքիս մեջ

Թղթին բառեր եմ նկարում

Երբ հենց ինքս իմ հետ ունեմ վեճ

Նման բաներ եմ կատարում:

Իսկ մի տէ գնումա պատերազմ

Ու ոնց որ վատ երազ`

Երբ մարդկանց քունը չի տանում

Մի տէ էկան գռազ

Մի տէ արին նամազ

Մի տէ գիտեն, թե խաղ են խաղում:

Մի տէ խոստովանում են, սիրում են

Մի տէ խոստովանում են, բայց սուտ

Մի տէ ով ինչ ունի նվիրումա

Մի տէ կարան խլեն դառնան սուրբ:

Ես աչքերս փակեմ ու նայեմ ամպերին

Իմ բարևը տամ ձեզ

Լողալով հասցրեք ու տվեք անտերին

Ով կարիք ունի մեծ:


Մի տէ ուտում են հաց

Մի տէ ուտում` երդում

Մի տէ ուտում են ծեծ

Ու շատերնէ հերթում

Մի տէ գալիսա բախտ

Մի տէ գալիսա ձյուն

Մի տէ կգա մուսսան

Բայց հետո կեթա տուն

Մի տէ, որ խորանաս, մարդ կա երջանիկա

Մի տէ էլ խորանաս, բայց կրված ենք ծնվում

Մի տէ չմեծացան, մեկա տուն-տունիկա

Մի տէ վռազեցին` ծերացան, տենց կրվում

Մի տէ հիմա գիշերա

Մի տէ մարդիկ են լույս

Մի տէ արև ու ստվերա

Մի տէ հելել են դուս

Մի տէ հելել են դուս

Ես մի տէ հելել եմ դուս:
"
Misho,Cigan,"
[Տուն 1]

Ինքս ինձ եմ բարև ասում, ու զարթնում եմ

Չրթում եմ բառեր վատ մարսողություն ա

Ինձ պետք են դարեր, միտքս ավարտեմ կամ թարգեմ

Երբ կորի գոնե լսողությունս:

Հիմա ես հպարտ ինչ որ քաղաքացի

Միշտ էլ էդ էինք բնավ, հիմա ճառ ա բացի

Էն փաստից, որ կտրել ենք խոշոր մոլախոտ

Արմատները թողած աճելու են այցի գան

Ես ինձ այցի գամ

Դե գնա թրաշվի, քեզ կարգի բեր

Կանչել են լկտի փարթիներ

Օրը նոր ա սկսել, չնայած տենց վեցոտ ա

Հն կյանքս գնանք անիծենք լյարդի հետ

Վերջացավ դե սկսանք նոր արկածասերիալ

Մաշնեն շպրտել ենք, քայլում ենք Սարյան

Լիքը ռուս կա, կալյան գոռալով հարմարվել են

Մերոնք են զանգում, որ ասեն սաղ արվել ա:


[Կրկներգ]

Հիմա ոնց որ ցիգան մի տեղից մյուս

Ինչ որ մի բան, ինձ տնից հանում ա դուս

Թալանում ա անխնա, ինչ ես կյանքը պահել ա

Կարող ա չտա, բայց կայֆը դա էլ ա հիմա:

Հիմա ոնց որ ցիգան մի տեղից մյուս

Ինչ որ մի բան, ինձ տնից հանում ա դուս

Թալանում ա անխնա, ինչ ես կյանքը պահել ա

Կարող ա չտա, բայց կայֆը դա էլ ա հիմա:
"
Misho,Sa,"
[Միշո]

Տնից հելա` դեպի տուն, դուսը` տունսա

Կյանքս, քել քշենք, ասա` ու՞ր, ամենուր ասա

Ամեն օր գժվենք

Էդ վարակը բաժանենք

Առաքողին կաշառենք

Բերի ուժ, թուլությունսա

Հետաքրքրումա սաղ

Շուրջս լիքը մարդ ու կապիկ, հլը ուր հասանք

Լավ եմ ապէ դու ասա

Արի արի դուրըսա

Կրակը մականունսա

Ինձ տանողը բիթնա ու քունսա

Հայաստանը մայր

Մայր

Մայր

Մայր

Մայր

Մայր բոլորին

Մայր բոլորին ապէ քուրսա

Ուր ընենց հաչոցա, ափշած հիմա շունսա

Ցույց եմ տալի էս, մեկէ էն, էդէ ցույցսա

Տրամս անընդհաաաատ, ինչ որ տէէէէէ

Բարձրանումա սար

Գնա մառախուղս գտնի, գույնզգույնսա

ԿԴրվեն ենք մենք, մեկէ կԴրվողը շունչսա

Հա

Սեմպլը դզե՞ց ապէ

Կարճ, բայց` ասումա սաղ

Նայի, էս` ինչով հիմա գրում եմ`

Թուրսա

Քել ապէ մտիիի
"
Misho,Banaliz,"
[Տուն 1]

Արդեն ասել եմ

Որ ծնվում ենք կրված ու մեռնում ենք կռված

Հավերժը՝ էդ մի բառա, որ մնումա առեղծված

Մենքէ կուտը լավ կերած, զկրտում ու անտեսում ենք

Որ էքուց կարանք մեռած հայտնվենք

Ու ան՝ տես ում ենք, ինչ տվէ՝ վերցրածի դիմաց

Ինքս ինձ եմ էս հարցով դառէ տհաճ

Բայց ամեն օրվա գինը տես, կնկատես գնաճ

Հարբած ճակատագիրը մեկէ որոշումա կարճ

Փորձել եմ, հետս չի ուզում հաշվի նստել

Ականջ արեք՝ թափառական աշուղի չէ

Բայց հինը հարգող ոմնի

Ով ապագայի հետ քննարկող, ներկային չամռվող

Սաղ քցումա նրան՝ ով բռնի։


[Կրկներգ]

Ընդունենք սա բԱնալիզա

ԲԱնալիզա, բԱնալիզա

Ընդունենք սա բԱնալիզա

ԲԱնալիզա, բԱնալիզա

Ընդունենք սա բԱնալիզա

ԲԱնալիզա, բԱնալիզա

Ընդունենք սա բԱնալիզա

ԲԱնալիզա, բԱնալիզա
"
Misho,Yete Irar Lsenq,"
Երբ որ հանգիստ ա

Գալիս են անհանգիստ բառեր

Ստե ինձ կանչել են նոտաներ

Իրանց հետ տանեն

Չգիտեմ ու ես չեմ էլ հարցնում

Թվում ա նկատում են

Երբ որ բան եմ թաքցնում

Ոտերիս եմ հագցնում կիսակեղտոտ բոթասներս

Եղանակ, դու նեղացել ես, ոնց որ չյո-տը թարսվել ես

Անհանգիստ են հարցերս, որ փոքրուց չունեն վախ

Բայց չափը հասկանում են ինձանից էլ անկախ

Կգա կեղտոտ անձրև, մաքուր մարդկանց վրա

Իրանց կրակից կպի ապե, ոչ թե հանգցրա

Սենց գոռում եմ բոլորին, իսկ բոլորը նենց լքված

Լուռ նայում են երեսիս, հա ու տենց է կմնանք

Ու թեկուզ լինի հարգանք, հիշի որ պղտորող են

Տենց մարդիկ կան՝ տականք, օգնում ա, երբ չուզող են

Խորհուրդները անտեսող են՝ բառերի մեջ կա թուք

Կուզեին լինի արդյունք, բայց դե ստացվում ա արցունք

Եթե իրար լսենք, փորձի մի հատ, լուսնի նման կիսվենք

Օձի նման իրար որ չկպնենք, ոչ մեկս է խայթող չենք

Որտև քանդելուց հետո էլ սուտ ա, սարքող չենք

Եթե իրար լսենք, փորձի մի հատ, կարիք ունենք կիսվենք

Օձի նման իրար որ չկպնենք, ոչ մեկս է խայթող չենք

Որտև քանդելուց հետո էլ սուտ ա, սարքող չենք

Եթե իրար լսենք՝ կարող ա պարզվի որ խլացել ենք

Որտև սաղ որտեղ պետք չի խոսում են, բացել ա

Կայծակ, քամի ու փոթորիկ

Նենց փոշի եք բարձրացրե, իրար մեջ է կոտորիք

Ախր կան որոշ մարդիկ, սպասում են

Իրանց պտի լսենք, իրանք է լուռ ոնց ձյունը

Գիտեմ կհամբերեն, բայց անկարծիք շուխուռ ա էթում

Իսկ մենք մի բուռ ենք, քել բռով ծափահարենք

Եթե լսենք իրար՝ բաներ կպարզվի

Մի հատ նստենք իրար դիմաց

Ու քանդվի էն բարձր պատը, որը կառուցում ենք կատաղած

Նստում ենք տակը, կամ վրով անցում ենք կատարում

Եթե լռենք՝ ուրեմն կլսենք, շները էդ սովից ա, որ հաչում են

Նույնն էլ մենք, որտև չկա մտքի սնունդ, խնջույք ա, մեկ էլ պարն ա

Էկել ա մի հատ սերունդ, որի փամփուշտը տառն ա

Եթե իրար լսենք, փորձի մի հատ, լուսնի նման կիսվենք

Օձի նման իրար որ չկպնենք, ոչ մեկս է խայթող չենք

Որտև քանդելուց հետո էլ սուտ ա, սարքող չենք
"
Misho,I’m Lezun,"
Իմ մոտ ամեն ինչ խառն ա

Համտեսել եմ դառն ա կյանքը...

Դրա համար ժպիտս սառն ա կյանքս

Ոշմեկ չի տվէ թևեր ինձ ՝ հիշի՛..

Էնքան եմ խոսալու մինչև լեզուս մաշի, տաշի..

Ես իմ թևերը աճացրել եմ ինքս

Դիրքս ՝ իշքանե ՀԱՅ ՏՂԵՔ-ն ա հիմքս

Ինչս լսել ես հլը կեսն ա

Անունս գիտես, էդ ինձ հերիք ա

Էդ իմ վեսն ա..

Որտև իմ լեզուն երբ որ շարում ա

Դեմինս կամ կզում, կամ ՝ խոնարհվում ա

Նայած ոնց ա լսում

Զուտ, պատահական, դրսում թե Merc-ում ա լսում

Բասսավիկ ա կիսում

Ես՝ ասում, ինչ-որ մեկը ՝ հակասում

Բացատրում եմ միանգամից չեմ վնասում

Էս դասում, ձեզ կօգնի դասատուն

Մտքումս շարում եմ, քշելով հասա տուն:


Սենց.. սենց.. սենց.. սենց..

Հենց սենց ա խոսում իմ լեզուն

Հայկական ռէպի պարտեզում:

Սենց.. սենց.. սենց.. սենց..

Հենց սենց ա խոսում իմ լեզուն

Հայկական ռէպի պարտեզում:

Սենց.. սենց.. սենց.. սենց..

Ախր սենց ա խոսում իմ լեզուն

Հայկական ռէպի պարտեզում:

Սենց.. սենց.. սենց.. սենց..

Հենց սենց ա խոսում իմ լեզուն

Հայկական ռէպի պարտեզում:
"
Misho,Chimanayir,"
[Սկիզբ: Գոգա և 
Միշո
]

Չիմանայի ես քեզ, չիմանայի

Բա չիմանայիր ինձ...


[Տուն 1։ Միշո]

Ավելի լավա չիմանայիր ինձ

Որովհետեվ մեկա բարդա, թեկուզ կյանքդ վարդա, թեկուզ մարդդ մարդա չիմանայիր ինձ

Որովհետեվ չես ջնջի իշքանէ տաս լրջին ու դու գիտես արժի, որ չիմանայիր ինձ

Չիմանայիր անտեղի դիմանայիր ինձ, քո բառերնա հանած սրտիս տակից

Կամ տակից կարևորը հասկացար ինձ, բամբակից էր սաղ

Մտքով անցավ ինձ, մի վախտ սիրողը հիմա դառելա երգը սեր

Հյուրասիրողը էտ ես էի բա ել ովա դեմովդ անցա

Ու միտքը դրանից սկսեց որ միացա ու մեկա հիացա որ քո հետա անգինդ

Չգիդեմ հավայի գյադա էր թե ղայդինա, անհամեմատելիա չհամեմատես

Բայց որ չիմանաս դու հանգիստ թե կապրես, բայց ապրես


[Կրկներգ: Գոգա և 
Միշո
]

Չիմանայի ես քեզ, չիմանայի

Որ չիմանայիր ինձ

Առանց քեզ, մի կերպ դիմանայի

Կամ, կամ դիմանայիր ինձ

Չիմանայի ես քեզ, չիմանայի

Ո՞նց

Ոնց դիմանայի

Որ չիմանայիր ավելի հեշտ կլներՈր իմանայիր ուրեմն մեջ կլնեյիր

Չիմանայի ես քեզ, չիմանայի

Որ չիմանայիր ինձ

Առանց քեզ, մի կերպ դիմանայի

Կամ, կամ դիմանայիր ինձ

Չիմանայի ես քեզ, չիմանայի

Ո՞նց

Ոնց դիմանայի

Որ չիմանայիր ավելի հեշտ կլներՈր իմանայիր ուրեմն մեջ կլնեյիր
"
Misho,Biti Beat (Yerb Xpuma Beaty),"
Երբ խփումա բիթը

Մեջս կուտակվումա` անհասկանալի, թանաքոտ վառելիքը

Երբ խփումա բիթը

Վերակառուցվում ու դառնում եմ ինձ շատ պակասող` էն գործիքը

Երբ խփումա բիթը

Դեմս (Ս)ևանում, մարմինս՝ սենյակում շարադրումա գալիքը

Երբ խփումա բիթը

Ինձ չար ու բարիքա

Երբ խփումա բիթը

Երբ խփումա...

Երբ խփումա բիթը

Ես ունեմ թքած՝ ով ես դու, ովա ինքը

Մենք դառնում ենք շուն, դու՝ պուձել, ես էլ` պիտը

Կխմեմ արյուն, էնէ մի քանի լիտր

Երբ խփումա բիթը

Երբ խփումա բիթը

Ես կարամ դառնամ ամենասրամիտը

Մյուս կոմից՝ անդուր, անամոթն ու կոպիտը

Ամեն ինչը ցույց եմ տալի, ոնց որ գիդը

Որը ձեզ մոտիկա


Երբ խփումա բիթը

Երբ խփումա բիթը

Երբ խփումա բիթը


Երբ խփումա բիթը

Երբ խփումա բիթը

Երբ խփումա բիթը
"
Misho,Hachelia,"
Ինձ հաճելիա ինձ ամեն օրն էլ մատչելիա

Խմեմ սառը օղի կյանքից քաշած սքանչելիա

Երբ որ ներքին ձայնը քո ձայննա

Թեկուզ որ բիձա իմաստուն դեմս լաայնա

Իմ հեշտ շփվելու տեսակի ցանկը

Ճիշտա լիքը բան որ արդեն կարացանք

Մեկա քիչա թվում ինձ ես չեմ էլ թվում 

Ոչ քանակը ոչ չափը չեմ էլ գրում 

Իմ բանակը ինձ շաաատա գնահատում

Ինձ փշոտ չի փշատա ինչ որ ուտում ես 

Մեկի համար քաղցրա մյուսին խեղդողա

Էս գրածս 48 չի 2 տողա

Ուղղակի երգիչ չենք մենք հեղափոխող ենք 

Մեջքի հետեվից չէ հենց դեմից կոխող ենք

Իմը վաճառվող չի խոսքս առանց փող եմ տալի

Վատ չէր միանգամից հաճելիա վրիիցե 


Կտանք ուզածդ որ ասես հաճելիա (հաճելիա,հաճելիա)

Թեկուզ տականքա կյանքը բայց հաճելիա (հաճելիա,հաճելիա)

Մեզ մի ասեք լավնա ասեք հաճելիա (հաճելիա,հաճելիա)

Խելոքնա թե հավնա լսում հաճելիա (հաճելիա հաճելիա)


Հաճելիա ինչքան է ազգս լավ չի լիա

Մեկա հաճույքի թեմաներով էս կյանքը խիա

Մեկի համար լոքշ մեկին փառքա 

Մյուսին համոզել են մահից հետո կյաաանք կա

Պարզելու ենք էտ վախտ մենակ ես վատ լուր ունեմ կարողա տենանք

Ու շատ ուշա ես խորն եմ ասում քել դու զգուշ ինձնից

Հաճույքա սնել ձեզ անուշ ըլնի

Իմ գալիքը թող շուտ ոչ էլ ուշ ըլնի 

Չոր մաքսիմալիստ եմ քաղում եմ 

Ինձ կյանքը կանչումա իրար հետ խաղում ենք

Հետո ինձ պաչումա էտ կյանքը

Կարում ենք ստանալ բազմաժանր հաճույք 

Հաճույքա էս գործը իմ փորձը լուրջ օգտագործվումա

Շատը հաճույքիցա որ խելքը կորցնում են 

Հաճույքը նենց հաքցնողա հաճելիա 

Ծնվանք ուրեմն կանչ էր միանշանակ

Ուղղված մեր հասցեին որ գանք ու 

Բանալիա պետք որ հաճույքի դռները անընդհատ

Բացվեն չհասցրին ֆայմեն ցավոք շատերը

Մտածելակերպը մի կերպ 

Հերիքումա էնքան,որ կամ ծերը ծերին գուշակելը ավելորդա

Ինչ նավերին ընդամենը տուր չոր պատասխան բայցերին 

Հաճելիա երբ որ մնացածը գիտեն թե կրածա

Երբ իրանց անցածը էնքան որ տպածա 

Անգույն թանաքով ու գիդի թե կարա 

Իրա քոռ դանակով էտ արանքը ճղի

Որիցէ հաճույքա գալի, բայց հղի

Մնումա էս կյաքնից ու վերջում ցավալիա իրանց 

Ու հաճույքա ինձ դեմից ու տակից զգուշացնում էի վրիցէ 
"
Misho,3 Mard,"
Օրը ցերեկով, քաղաք Երևան

Մարմնիցս դուրս եմ էկել, հետո գամ

Որտև Բուսաբանական այգուց նոր ազդված եմ

Հիմա ում նայում եմ՝ աչքիս գազ տված եմ։

Մոտս էլ դանդաղ, դինջ իրավիճակ

Վերևից անձրևն ինքն իրան իջավ

Ու ըտե ամեն մեկը ընենց ա վազում, ոնց որ ցավ կա

Ինձէ ամեն քայլը բարդ, այսինքն՝ ցատկ ա։

Խորացում ա խառը մանրուքի վրա

Արա էս ինչքան ա գաղութի նման։

Մեր ուղեղը մտքեր փագած հա վախում ենք

Որ դուրս գան դեր, խաղաց մեր էրեսը

Որը հույս տանք մեզ։

Ինքս իմ վրա խնդում եմ

Ախպեր, մի ալարի քել մի էրկու տող գրենք, խնդրում եմ։

Էս վիճակը ինձ դրդում ա հա նստեմ ու խորանամ

Մի հատ հարց կա՝ հասկանամ մեջիս մարդը


Ո՞վ ա, ո՞վ ա, ո՞վ ա էս քեզ

Ո՞վ ա, ո՞վ ա, ո՞վ ա մեզ պես

Ո՞վ ա, ո՞վ ա, ո՞վ ա տես քեզ

Ինչքանով օգուտ, թե վնաս, որտև պարզ չի։


Ո՞վ ա, ո՞վ ա, ո՞վ ա էս քեզ

Ո՞վ ա, ո՞վ ա, ո՞վ ա մեզ պես

Ո՞վ ա, ո՞վ ա, ո՞վ ա տես քեզ

Նմանություն կա, թե գնաս, ապե պետք չես։
"
